Date,Open,High,Low,Close,Volume
2022-04-19,27096.49,27098.86,26780.75,26985.09,605066600.0
2022-04-18,26831.45,26848.89,26571.38,26799.71,483498700.0
2022-04-15,26932.48,27201.17,26784.92,27093.19,515466300.0
2022-04-14,26925.64,27200.89,26890.68,27172.0,618415600.0
2022-04-13,26436.06,26885.87,26429.47,26843.49,716291100.0
2022-04-12,26453.37,26470.98,26304.08,26334.98,753175200.0
2022-04-11,26877.6,27004.5,26720.46,26821.52,734513100.0
2022-04-08,27097.05,27185.23,26764.36,26985.8,780646000.0
2022-04-07,27032.42,27042.18,26801.79,26888.57,711294300.0
2022-04-06,27533.88,27546.9,27215.2,27350.3,686520300.0
2022-04-05,27708.56,27809.34,27670.37,27787.98,642995100.0
2022-04-04,27670.45,27738.23,27626.77,27736.47,503455500.0
2022-04-01,27624.11,27734.54,27399.48,27665.98,667539000.0
2022-03-31,28050.5,28070.02,27808.17,27821.43,786423200.0
2022-03-30,28250.8,28271.01,27736.27,28027.25,834484000.0
2022-03-29,28173.43,28252.42,28063.92,28252.42,777009000.0
2022-03-28,28084.08,28084.08,27814.51,27943.89,652997500.0
2022-03-25,28338.81,28338.81,27947.75,28149.84,674027100.0
2022-03-24,27693.77,28110.39,27626.47,28110.39,716043300.0
2022-03-23,27606.79,28056.2,27604.37,28040.16,882008300.0
2022-03-22,27091.32,27284.47,27076.41,27224.11,979853700.0
2022-03-18,26649.5,26862.43,26592.98,26827.43,1081821100.0
2022-03-17,26170.38,26701.63,26152.89,26652.89,896413400.0
2022-03-16,25574.9,25824.14,25471.69,25762.01,823423000.0
2022-03-15,25228.53,25440.23,25221.26,25346.48,732023700.0
2022-03-14,25338.64,25629.26,25299.64,25307.85,725829100.0
2022-03-11,25495.03,25500.69,24966.5,25162.78,895950900.0
2022-03-10,25108.47,25719.74,25101.72,25690.4,952294400.0
2022-03-09,24876.49,25084.08,24697.66,24717.53,915253100.0
2022-03-08,24974.35,25286.27,24769.52,24790.95,1147420200.0
2022-03-07,25634.09,25634.09,25006.26,25221.41,1053767500.0
2022-03-04,26421.85,26421.85,25777.45,25985.47,935295900.0
2022-03-03,26628.87,26702.53,26502.5,26577.27,747893100.0
2022-03-02,26532.2,26585.3,26313.72,26393.03,877107100.0
2022-03-01,26836.74,27013.26,26821.75,26844.72,740236100.0
2022-02-28,26457.52,26643.68,26262.63,26526.82,910557100.0
2022-02-25,26213.2,26481.53,26162.81,26476.5,775798600.0
2022-02-24,26281.35,26357.58,25776.15,25970.82,935360800.0
2022-02-22,26515.45,26550.1,26246.27,26449.61,673108800.0
2022-02-21,26771.58,26993.09,26549.0,26910.87,529035600.0
2022-02-18,26895.16,27215.31,26792.86,27122.07,635334000.0
2022-02-17,27431.42,27437.57,27082.02,27232.87,677823700.0
2022-02-16,27269.05,27483.37,27227.24,27460.4,641243300.0
2022-02-15,27183.56,27205.2,26727.97,26865.19,761722300.0
2022-02-14,27305.92,27325.5,26949.79,27079.59,797744600.0
2022-02-10,27818.1,27877.02,27575.07,27696.08,828744300.0
2022-02-09,27488.65,27632.77,27405.88,27579.87,934778900.0
2022-02-08,27318.3,27461.33,27280.63,27284.52,766026900.0
2022-02-07,27327.63,27354.07,27088.1,27248.87,770960800.0
2022-02-04,27095.9,27455.98,27076.38,27439.99,796059900.0
2022-02-03,27330.96,27357.33,27166.2,27241.31,810742700.0
2022-02-02,27302.99,27564.62,27289.16,27533.6,852103800.0
2022-02-01,27167.14,27408.36,27017.57,27078.48,811318600.0
2022-01-31,26690.6,27133.38,26542.08,27001.98,782876300.0
2022-01-28,26429.85,26764.85,26289.69,26717.34,759867900.0
2022-01-27,27139.88,27187.97,26046.37,26170.3,887380500.0
2022-01-26,27105.98,27184.54,26858.68,27011.33,604684500.0
2022-01-25,27466.82,27488.13,26892.36,27131.34,769682100.0
2022-01-24,27258.45,27627.47,27203.5,27588.37,610186800.0
2022-01-21,27404.36,27586.42,27130.7,27522.26,727499500.0
2022-01-20,27401.43,27879.19,27218.78,27772.93,740209600.0
2022-01-19,27928.89,27958.17,27322.22,27467.23,842984000.0
2022-01-18,28451.34,28689.25,28131.21,28257.25,713133300.0
2022-01-17,28332.72,28449.18,28274.18,28333.52,544800000.0
2022-01-14,28246.99,28252.96,27890.69,28124.28,820674500.0
2022-01-13,28658.22,28660.45,28447.74,28489.13,698810800.0
2022-01-12,28449.53,28814.31,28430.35,28765.66,725477800.0
2022-01-11,28380.9,28471.73,28091.15,28222.48,737064600.0
2022-01-07,28711.53,28811.0,28293.7,28478.56,751712100.0
2022-01-06,29136.75,29158.95,28487.87,28487.87,715910200.0
2022-01-05,29288.8,29387.92,29204.45,29332.16,786258200.0
2022-01-04,29098.41,29323.79,28954.56,29301.79,660373200.0
2021-12-30,28794.24,28904.32,28579.49,28791.71,403887100.0
2021-12-29,28995.73,29106.07,28729.61,28906.88,447112200.0
2021-12-28,28953.32,29119.26,28881.44,29069.16,470404100.0
2021-12-27,28786.33,28805.03,28661.37,28676.46,374872200.0
2021-12-24,28836.05,28870.13,28773.5,28782.59,359085100.0
2021-12-23,28693.52,28798.37,28640.15,28798.37,435638200.0
2021-12-22,28614.06,28672.99,28474.02,28562.21,446534600.0
2021-12-21,28309.6,28533.74,28226.43,28517.59,557818000.0
2021-12-20,28325.46,28432.51,27893.18,27937.81,651767400.0
2021-12-17,28893.67,28904.94,28507.56,28545.68,844498000.0
2021-12-16,28868.37,29066.42,28782.37,29066.32,602662100.0
2021-12-15,28393.87,28515.25,28393.87,28459.72,558775700.0
2021-12-14,28554.86,28672.96,28311.26,28432.64,552497200.0
2021-12-13,28705.26,28793.32,28593.45,28640.49,535380800.0
2021-12-10,28542.5,28699.01,28393.78,28437.77,633615900.0
2021-12-09,28827.32,28908.29,28725.47,28725.47,543774000.0
2021-12-08,28792.89,28897.22,28621.47,28860.62,719881000.0
2021-12-07,28138.82,28617.71,27961.66,28455.6,782685100.0
2021-12-06,28069.96,28069.96,27693.91,27927.37,616864600.0
2021-12-03,27841.05,28029.57,27589.74,28029.57,719085400.0
2021-12-02,27716.2,27935.73,27644.96,27753.37,774195800.0
2021-12-01,27866.73,28106.24,27594.01,27935.62,808761700.0
2021-11-30,28611.73,28718.7,27819.14,27821.76,1406636200.0
2021-11-29,28337.96,28776.34,28187.12,28283.92,859116700.0
2021-11-26,29324.47,29332.99,28606.57,28751.62,728745800.0
