お名前(HN可),所属陣営,年末の日経平均株価は？
あきら,神戸投資勉強会,41500
くっすんすん,湘南投資勉強会,41500
SASA,湘南投資勉強会,41500
ヨシ,湘南投資勉強会,41500
kenmo@湘南投資勉強会,湘南投資勉強会,41215
hiram,湘南投資勉強会,41200
ちゃっぴー,特になし,41000
あいまる,湘南投資勉強会,41000
MT,神戸投資勉強会,41000
野松　隆博,湘南投資勉強会,41000
くろせ,湘南投資勉強会,41000
ビョル,神戸投資勉強会,41000
近藤,湘南投資勉強会,41000
やさあた,神戸投資勉強会,41000
シュレディンガーのぱんだ,さいたま投資勉強会,41000
よつば,神戸投資勉強会,41000
ごんきち,湘南投資勉強会,40500
あんこ,湘南投資勉強会,40500
ぺるる,湘南投資勉強会,40500
にゃり,湘南投資勉強会,40000
なかし,湘南投資勉強会,40000
植村,湘南投資勉強会,40000
べいべー,湘南投資勉強会,40000
秋吉義明,湘南投資勉強会,40000
甲鉄城のハバネロ,西成投資研究会,40000
nt164,湘南投資勉強会,40000
ポンポコたぬき,湘南投資勉強会,40000
たぬ吉,湘南投資勉強会,40000
ayame,湘南投資勉強会,40000
イタル,湘南投資勉強会,40000
ゆきお,湘南投資勉強会,40000
ゆっき,湘南投資勉強会,40000
フク,無し,40000
初心者,神戸投資勉強会,40000
Mくんニキ,神戸投資勉強会,40000
らうーる、,新高値ブレイク投資塾,40000
emi,湘南投資勉強会,40000
hiro,湘南投資勉強会,40000
TMO,湘南投資勉強会,40000
はるもふ,どちらにも所属していません,40000
牛歩,神戸投資勉強会,40000
こりん《KRN》,湘南投資勉強会,39900
アリエス,湘南投資勉強会,39900
でこぽん,神戸投資勉強会,39876
☆にゃー☆,湘南投資勉強会,39800
スカイラー,湘南投資勉強会,39500
明菜,神戸投資勉強会,39500
太郎ちゃん,勉強会未参加,39500
お多福。,湘南投資勉強会,39500
ほしいも,湘南投資勉強会,39500
Y.G.,湘南投資勉強会,39300
羽根,神戸投資勉強会,39000
坂,フリー,39000
yss,湘南投資勉強会,39000
フクミサ,湘南投資勉強会,39000
