nobukichi?49	湘南投資勉強会	2982	ＡＤワークスグループ	140	236	68.6%					rurio	神戸投資勉強会	2479	ジェイテック	221	235	6.3%										
ぱふぇっと	神戸投資勉強会	2982	ＡＤワークスグループ	140	236	68.6%					rurio	神戸投資勉強会	4082	第一稀元素化学工	1023	988	-3.4%										
栗エイタ	湘南投資勉強会	2982	ＡＤワークスグループ	140	236	68.6%					sasuke N	湘南投資勉強会	6323	ローツェ	7680	15060	96.1%										
ぺるる	湘南投資勉強会	2984	ヤマイチ・ユニハイムエステート	825	959	16.2%					くま	湘南投資勉強会	4379	ＰＨＯＴＯＳＹＮＴＨ	299	446	49.2%										
バシマエ	湘南投資勉強会	2987	タスキ	1048	1333	27.2%					かもめ	湘南投資勉強会	7228	デイトナ	3310	3000	-9.4%										
ちぃ	湘南投資勉強会	2998	クリアル	2068	5150	149.0%					fukufukurou	神戸投資勉強会	6577	ベストワンドットコム	1686	3815	126.3%				あちし	湘南投資勉強会	3041	ビューティ花壇	277	1022	269.0%
人間	湘南投資勉強会	3030	ハブ	620	719	16.0%					くま	湘南投資勉強会	3040	ソリトンシステムズ	1062	1392	31.1%										
くま	湘南投資勉強会	3040	ソリトンシステムズ	1062	1392	31.1%					オニール好きの投資家	湘南投資勉強会	4377	ワンキャリア	3615	4070	12.6%										
ココア	湘南投資勉強会	3041	ビューティ花壇	277	1022	269.0%					AK	湘南投資勉強会	3937	ＵＢＩＣＯＭホールディングス	2127	1669	-21.5%				fukufukurou	神戸投資勉強会	6577	ベストワンドットコム	1686	3815	126.3%
あちし	湘南投資勉強会	3041	ビューティ花壇	277	1022	269.0%					AK	湘南投資勉強会	7089	フォースタートアップス	2155	1739	-19.3%				ayame	湘南投資勉強会	7047	ポート	1078	2357	118.6%
ぱふぇっと	神戸投資勉強会	3041	ビューティ花壇	277	1022	269.0%					AK	湘南投資勉強会	7360	オンデック	1382	825	-40.3%				kenmo	湘南投資勉強会	7059	コプロ・ホールディングス	504	1525	202.6%
お多福	湘南投資勉強会	3048	ビックカメラ	1239	1344	8.5%					スーパーこさく	神戸投資勉強会	6245	ヒラノテクシード	2332	1799	-22.9%										
やっしー	神戸投資勉強会	3137	ファンデリー	292	273	-6.5%					ポンポコたぬき	神戸投資勉強会	6226	守谷輸送機工業	748	1246	66.6%										
ゆうと	神戸投資勉強会	3138	富士山マガジン	779	688	-11.7%					めがね	湘南投資勉強会	4503	アステラス製薬	1901.5	1686	-11.3%										
ゆに	神戸投資勉強会	3167	ＴＯＫＡＩホールディングス	844	963	14.1%					ケンヂ	湘南投資勉強会	4177	ｉ‐ｐｌｕｇ	1320	1158	-12.3%										
タカ@takanovalue	神戸投資勉強会	3179	シュッピン	1222	1187	-2.9%					ひんご	湘南投資勉強会	6337	テセック	2927	2422	-17.3%										
えびす	湘南投資勉強会	3179	シュッピン	1222	1187	-2.9%					ひんご	湘南投資勉強会	8798	アドバンスクリエイト	1079	1003	-7.0%										
でふし	神戸投資勉強会	3180	ビューティガレージ	1687.5	2207	30.8%					お多福	湘南投資勉強会	9066	日新	2081	2400	15.3%										
thun	湘南投資勉強会	3186	ネクステージ	2533	2588	2.2%					トム	湘南投資勉強会	6625	ＪＡＬＣＯホールディングス	242	232	-4.1%										
