Date,Open,High,Low,Close,Volume
2023-05-16,2124.92,2127.77,2119.61,2127.18,1657045800
2023-05-15,2107.41,2114.86,2103.84,2114.85,1510071900
2023-05-12,2088.39,2098.06,2084.12,2096.39,1728575300
2023-05-11,2081.54,2085.77,2077.78,2083.09,1360751700
2023-05-10,2096.62,2096.87,2083.22,2085.91,1362974500
2023-05-09,2076.44,2097.55,2076.32,2097.55,1399651800
2023-05-08,2073.25,2079.91,2068.69,2071.21,1239577000
2023-05-02,2083.94,2084.16,2068.82,2075.53,1088197500
2023-05-01,2070.37,2078.37,2068.04,2078.06,1277876700
2023-04-28,2049.8,2057.48,2038.31,2057.48,1627696800
2023-04-27,2018.72,2032.94,2015.68,2032.51,1241662800
2023-04-26,2029.37,2031.15,2017.19,2023.9,1159752900
2023-04-25,2045.96,2054.13,2040.49,2042.15,1001938800
2023-04-24,2040.22,2043.32,2036.05,2037.34,861100900
2023-04-21,2032.17,2045.25,2031.36,2035.06,1037441500
2023-04-20,2031.37,2042.57,2029.07,2039.73,956617000
2023-04-19,2039.33,2041.38,2032.9,2040.38,979110200
2023-04-18,2033.7,2043.33,2031.58,2040.89,1048663300
2023-04-17,2024.45,2027.39,2018.84,2026.97,994769500
2023-04-14,2014.74,2020.0,2012.83,2018.72,1171341200
2023-04-13,2000.71,2008.73,1998.54,2007.93,1026787700
2023-04-12,1999.02,2007.68,1999.02,2006.92,1035044600
2023-04-11,1991.93,1999.13,1985.28,1991.85,1078583400
2023-04-10,1977.27,1982.72,1973.35,1976.53,857281200
2023-04-07,1965.49,1970.53,1963.21,1965.44,857820600
2023-04-06,1966.67,1968.64,1958.82,1961.28,1176689700
2023-04-05,2006.8,2007.89,1982.22,1983.84,1201883300
2023-04-04,2019.6,2023.63,2014.1,2022.76,1205067900
2023-04-03,2015.05,2020.84,2009.03,2017.68,1216666400
2023-03-31,1999.15,2010.52,1998.33,2003.5,1455360100
2023-03-30,1984.61,1988.36,1974.13,1983.32,1303433200
2023-03-29,1971.24,1995.48,1967.6,1995.48,1399806900
2023-03-28,1972.83,1975.04,1960.45,1966.67,1074772600
2023-03-27,1963.67,1966.82,1955.58,1961.84,987092100
2023-03-24,1950.55,1958.15,1946.32,1955.32,1042514600
2023-03-23,1944.37,1960.14,1938.85,1957.32,1067218900
2023-03-22,1956.51,1968.7,1955.69,1962.93,1276436900
2023-03-20,1949.83,1956.91,1929.3,1929.3,1384545400
2023-03-17,1952.46,1961.06,1947.25,1959.42,1666632100
2023-03-16,1929.06,1939.58,1910.6,1937.1,1685691400
2023-03-15,1966.67,1971.02,1952.18,1960.12,1370128200
2023-03-14,1973.92,1974.07,1935.62,1947.54,1941216800
2023-03-13,2010.9,2011.35,1987.0,2000.99,1515538800
2023-03-10,2048.99,2053.21,2030.29,2031.58,1733949500
2023-03-09,2063.71,2071.6,2063.11,2071.09,1240200400
2023-03-08,2040.54,2053.01,2040.54,2051.21,1144411600
2023-03-07,2035.0,2046.11,2034.82,2044.98,1164200800
2023-03-06,2033.1,2038.72,2030.98,2036.49,1124329000
2023-03-03,2005.31,2021.43,2001.98,2019.52,1301635400
2023-03-02,2001.67,2004.54,1991.1,1994.57,1150588700
2023-03-01,1989.38,1997.81,1984.88,1997.81,1166763300
2023-02-28,1997.64,2001.42,1990.61,1993.28,1437105300
2023-02-27,1983.27,1993.82,1983.16,1992.78,1024924100
2023-02-24,1976.25,1989.87,1974.7,1988.4,1266431700
2023-02-22,1985.1,1987.38,1970.2,1975.25,1236031200
2023-02-21,1998.36,2003.46,1992.39,1997.46,1045694600
2023-02-20,1995.35,2000.04,1989.61,1999.71,1051991200
2023-02-17,1988.21,1997.24,1987.17,1991.93,1143550000
2023-02-16,1996.09,2002.22,1993.35,2001.09,1178240500
2023-02-15,1998.15,1999.66,1984.64,1987.74,1227114700
2023-02-14,1994.7,1996.8,1987.8,1993.09,1054725800
2023-02-13,1984.37,1987.01,1968.78,1977.67,1196964000
2023-02-10,1983.85,1999.37,1980.31,1986.96,1432631600
2023-02-09,1976.31,1987.92,1975.85,1985.0,1080501000
2023-02-08,1986.4,1991.49,1979.45,1983.97,1130420300
2023-02-07,1984.92,1989.57,1982.01,1983.4,1163707600
2023-02-06,1984.28,1989.05,1976.3,1979.22,1354847200
2023-02-03,1962.73,1974.66,1960.72,1970.26,1435737700
2023-02-02,1974.9,1975.8,1961.82,1965.17,1236651600
2023-02-01,1984.12,1989.46,1971.54,1972.23,1151778900
2023-01-31,1987.55,1991.14,1973.45,1975.27,1247528500
2023-01-30,1981.93,1986.96,1977.56,1982.4,1169674400
