,pokemon_name,params,ranking,param_name,rate
139,カイリュー,同じチーム,7,ポリゴン２,-1
140,カイリュー,同じチーム,8,アシレーヌ,-1
141,カイリュー,同じチーム,9,ディンルー,-1
142,カイリュー,同じチーム,10,ハッサム,-1
143,カイリュー,倒したポケモン,1,オーガポン,-1
144,カイリュー,倒したポケモン,2,ハバタクカミ,-1
145,カイリュー,倒したポケモン,3,カイリュー,-1
146,カイリュー,倒したポケモン,4,ウーラオス,-1
147,カイリュー,倒したポケモン,5,アシレーヌ,-1
148,カイリュー,倒したポケモン,6,パオジアン,-1
149,カイリュー,倒したポケモン,7,ガチグマ,-1
150,カイリュー,倒したポケモン,8,サーフゴー,-1
151,カイリュー,倒したポケモン,9,ハッサム,-1
152,カイリュー,倒したポケモン,10,ランドロス,-1
153,カイリュー,倒したわざ,1,しんそく,31.6
154,カイリュー,倒したわざ,2,じしん,19.3
155,カイリュー,倒したわざ,3,スケイルショット,16.0
156,カイリュー,倒したわざ,4,テラバースト,9.7
157,カイリュー,倒したわざ,5,アイアンヘッド,8.0
158,カイリュー,倒したわざ,6,げきりん,5.5
159,カイリュー,倒したわざ,7,エアスラッシュ,3.2
160,カイリュー,倒したわざ,8,ほのおのパンチ,1.5
161,カイリュー,倒したわざ,9,けたぐり,1.3
162,カイリュー,倒したわざ,10,ほのおのうず,0.6
163,カイリュー,倒されたポケモン,1,カイリュー,-1
164,カイリュー,倒されたポケモン,2,ハバタクカミ,-1
165,カイリュー,倒されたポケモン,3,オーガポン,-1
166,カイリュー,倒されたポケモン,4,ウーラオス,-1
167,カイリュー,倒されたポケモン,5,ガチグマ,-1
168,カイリュー,倒されたポケモン,6,パオジアン,-1
169,カイリュー,倒されたポケモン,7,ウガツホムラ,-1
170,カイリュー,倒されたポケモン,8,ウーラオス,-1
171,カイリュー,倒されたポケモン,9,ブリジュラス,-1
172,カイリュー,倒されたポケモン,10,ラティオス,-1
173,カイリュー,倒されたわざ,1,ムーンフォース,7.6
174,カイリュー,倒されたわざ,2,テラバースト,4.4
175,カイリュー,倒されたわざ,3,ツタこんぼう,4.2
176,カイリュー,倒されたわざ,4,しんそく,3.7
177,カイリュー,倒されたわざ,5,スケイルショット,3.5
178,カイリュー,倒されたわざ,6,じしん,3.0
179,カイリュー,倒されたわざ,7,すいりゅうれんだ,2.5
180,カイリュー,倒されたわざ,8,ブラッドムーン,2.4
181,カイリュー,倒されたわざ,9,れいとうビーム,2.4
182,カイリュー,倒されたわざ,10,バレットパンチ,2.2
183,オーガポン,覚えているわざ,1,ツタこんぼう,99.6
184,オーガポン,覚えているわざ,2,ウッドホーン,83.3
185,オーガポン,覚えているわざ,3,つるぎのまい,35.1
186,オーガポン,覚えているわざ,4,でんこうせっか,31.8
