,pokemon_name,params,ranking,param_name,rate
147,カイリュー,倒したポケモン,5,ヒードラン,-1
148,カイリュー,倒したポケモン,6,テツノツツミ,-1
149,カイリュー,倒したポケモン,7,ランドロス,-1
150,カイリュー,倒したポケモン,8,サーフゴー,-1
151,カイリュー,倒したポケモン,9,オオニューラ,-1
152,カイリュー,倒したポケモン,10,ディンルー,-1
153,カイリュー,倒したわざ,1,しんそく,44.1
154,カイリュー,倒したわざ,2,じしん,26.9
155,カイリュー,倒したわざ,3,テラバースト,11.9
156,カイリュー,倒したわざ,4,げきりん,7.1
157,カイリュー,倒したわざ,5,アイアンヘッド,2.5
158,カイリュー,倒したわざ,6,エアスラッシュ,1.3
159,カイリュー,倒したわざ,7,れいとうビーム,0.8
160,カイリュー,倒したわざ,8,アクアジェット,0.6
161,カイリュー,倒したわざ,9,１０まんボルト,0.6
162,カイリュー,倒したわざ,10,アイススピナー,0.6
163,カイリュー,倒されたポケモン,1,カイリュー,-1
164,カイリュー,倒されたポケモン,2,パオジアン,-1
165,カイリュー,倒されたポケモン,3,ハバタクカミ,-1
166,カイリュー,倒されたポケモン,4,ウーラオス,-1
167,カイリュー,倒されたポケモン,5,ガチグマ,-1
168,カイリュー,倒されたポケモン,6,テツノツツミ,-1
169,カイリュー,倒されたポケモン,7,ウーラオス,-1
170,カイリュー,倒されたポケモン,8,サーフゴー,-1
171,カイリュー,倒されたポケモン,9,ランドロス,-1
172,カイリュー,倒されたポケモン,10,ヌメルゴン,-1
173,カイリュー,倒されたわざ,1,ムーンフォース,8.2
174,カイリュー,倒されたわざ,2,テラバースト,6.3
175,カイリュー,倒されたわざ,3,しんそく,6.0
176,カイリュー,倒されたわざ,4,つららおとし,4.8
177,カイリュー,倒されたわざ,5,からげんき,3.6
178,カイリュー,倒されたわざ,6,すいりゅうれんだ,3.2
179,カイリュー,倒されたわざ,7,インファイト,3.1
180,カイリュー,倒されたわざ,8,じしん,2.9
181,カイリュー,倒されたわざ,9,あんこくきょうだ,2.8
182,カイリュー,倒されたわざ,10,れいとうパンチ,2.8
