	①2倍株	Unnamed: 1	Unnamed: 2	②上場廃止	Unnamed: 4	Unnamed: 5	③日経平均	Unnamed: 7	Unnamed: 8	④株式市場で起こること	Unnamed: 10	Unnamed: 11
235	ゴミの持ち腐れ			すっぴー			わちムシ			バンコク太郎		0
236	hiroseka（ひろせか）			総計		144	moo			タイ		0
237	TAKAS						田上 太郎			Meril		0
238	ダイナー						さざなみ			ポンポコたぬき		0
239	すみ						柊@kabu			オウル		0
240	うわん						うわん			grass hopper		0
241	べいべー						COWとれーだー			shin 619		0
242	Jun						するが			log		0
243	タダモノ						ia			こた		0
244	T						ほしいも			ぺるる		0
245	あべんどT						Tommy			よっしー		0
246	華						えむ(湘南)	31000		ゆに		0
247	シェイン						えむ(湘南) 集計			サントーシー		0
248	ゆうと						まろまろ			えむ(湘南)		0
249	まぴ						どみの			ぐらぐら		0
250	くま						なのなの			グラッチ		0
251	かぺぺ						めそ			ia		0
252	ぽけもん２						AK			さーさ		0
253	まもる						たう			HIKO		0
254	AK						momo			きづ		0
255	タイ						rurio			かぺぺ		0
256	アリエス						rokuroku			Bolsa		0
257	よっしー						mio			ちょる子		0
258	中田B						victoriakcol naoe			かもめ		0
259	如水						べいべー			やってぃーさん		0
260	沼田将匡						Yoshua			よぴ		0
261	スーパーこさく						ゆっき			NY		0
262	わちムシ						きづ			ゆうき		0
263	かぶとみ						サントーシー			総計		311
264	もりお						こた					
265	人間						くりごはん					
266	おむすび🍙						たこ					
267	とらほう						ダイナー					
268	ぐらぐら						ダンベルドア					
269	エル川						おざ					
270	柊@kabu						ひろたん					
271	Lima						たかたか					
272	アディ						ほくと					
273	スーパースタン						フカカチ					
274	TMO						ライコネン					
275	shin 619						矢部					
276	りんたん						先高					
277	rei						　ちちやす					
278	ゆきお						azuai					
279	茶々丸						ボントレ					
280	牛歩						ヨシ					
281	ににもも						グコウさん					
282	まちゃ						ぐらぐら					
283	ほしいも						かぶとみ					
284	美波 						あちし					
285	hana						Bolsa					
286	mayumayu						sasuke					
287	☆にゃー☆						ゴミの持ち腐れ					
288	らび						アオ					
289	キューピー						saku					
290	K						エル川					
291	ひんご						総計		75			
292	take											
293	こた											
294	　ちちやす											
295	総計		250									
